Node	CF	CN	CR	C^	Cr	C~
1519	1995	1098	5789	54	15	3
152	62354	43208	103066	2513	616	587
1520	22823	23674	90772	1522	172	269
1521	10802	3372	13334	268	22	39
1522	21764	6063	33025	276	71	70
1523	39588	41476	106441	6728	754	1947
1524	3211	1801	8333	228	68	70
1525	29758	36436	95152	1741	270	309
1526	69796	76997	148322	4211	407	216
1527	44846	47790	95889	6272	409	1758
1528	67278	69710	147441	3053	846	362
1529	535205	854200	1092643	238217	13524	60390
153	13081	11751	35431	1297	263	208
1530	1524	825	4905	103	3	1
1531	27015	12611	21349	2771	35	406
1532	48941	57957	118097	10531	878	3902
1533	162883	127092	300921	13486	1550	4780
1534	28421	31549	47620	6441	351	2164
1535	23784	35539	51250	7293	435	2796
1536	28773	16203	37182	3399	100	626
1537	36523	63318	103112	12352	385	5172
1538	54123	74764	135000	14574	355	5840
1539	44113	54803	101918	11091	661	4081
154	37061	54501	170624	3566	968	3058
1540	135866	130398	240979	23738	1351	7731
1541	220551	224386	609139	33273	1225	7344
1542	29080	53658	71126	12362	438	5078
1543	60918	79165	123302	18836	637	6525
1544	62447	81496	118365	17860	522	6581
1545	55547	70781	159260	12276	1508	4133
1546	13686	9881	31367	1148	106	200
1547	129590	130414	215034	6899	965	1337
1548	35884	44772	96216	8710	1276	2960
1549	16671	15424	42058	2120	343	481
155	8652	14139	32515	2337	227	967
1550	8028	6072	20450	765	202	167
1551	13591	13421	32135	2134	414	607
1552	20263	19311	38639	3158	491	987
1553	175873	101605	406391	4378	1907	330
1554	9314	7541	24460	1013	296	192
1555	15693	14956	38103	2128	322	482
1556	185010	219409	414917	13625	3001	3668
1557	14866	18277	42558	2670	307	1014
1558	9134	5214	15326	537	6	84
1559	15692	12859	32109	1369	471	288
156	19447	35131	60586	6996	836	3760
1560	62	29	201	0	0	0
1561	2137	1833	7353	164	26	28
1562	81	70	455	0	0	0
1563	6415	3130	16749	159	41	23
1564	39	24	410	1	0	0
1565	3	0	27	0	0	0
1566	28	195	176	93	0	120
1567	105	220	559	5	0	0
1568	3	178	90	41	0	192
1569	3	136	38	33	0	192
157	9055	8644	23577	1302	151	557
1570	3	136	38	33	0	192
1571	15	210	80	52	0	195
1572	9	251	84	34	0	192
1573	136	272	555	9	0	0
1574	3	136	38	33	0	192
1575	3	156	68	52	0	195
1576	6	188	51	33	0	192
1577	28	297	189	61	0	156
1578	3	156	68	52	0	195
1579	1617	1334	4272	84	20	6
158	41395	29252	54851	1099	91	698
1580	24296	27968	59674	4370	670	1384
1581	21259	28264	55755	5286	816	1619
1582	29489	41853	119765	7927	735	3316
1583	9794	7781	35028	414	89	29
1584	15415	22523	66393	7815	519	3604
1585	23509	23641	73410	2306	419	1177
1586	45176	47535	94429	7610	659	3086
1587	29176	31400	95572	4242	677	615
1588	588477	658892	1231163	137812	12952	17455
1589	46693	73390	179024	13351	1441	6248
159	3302	7221	20639	13	20	1
1590	21061	29125	61134	7652	473	3863
1591	4010	2851	15180	128	59	8
1592	35761	31606	103178	3418	541	575
1593	25891	41426	102112	9040	698	4127
1594	58523	72631	154236	10711	913	5034
1595	62716	69111	157569	3277	515	281
1596	133736	172178	476052	19529	4126	4988
1597	53968	66004	124826	9781	695	4324
1598	104300	121487	370122	13289	2060	5039
1599	65672	90164	214063	11937	1320	5449
16	13868	13290	24990	3437	2	1366
160	20341	18854	38796	3246	593	1217
1600	18205	15074	50367	720	74	144
1601	57551	74453	153414	10552	805	4908
1602	6543	7403	31748	203	28	32
1603	58631	60543	125958	8785	643	4548
1604	329137	351961	682493	38395	6257	4360
1605	107770	75943	136016	3336	378	441
1606	35207	16144	75068	1169	398	76
1607	3209	1945	14995	219	0	35
1608	119500	81081	155215	4058	628	504
1609	84474	57668	101342	1396	146	130
161	15577	18280	43677	2884	429	1232
1610	1297875	1855942	2953337	484667	11572	216813
1611	12098	17642	69313	6731	756	2465
1612	254809	210700	552826	22805	5436	3648
1613	77781	60799	92012	1947	94	214
1614	135508	142359	348058	19702	2728	4601
1615	80141	39744	157253	4616	973	505
1616	104180	69924	120308	2929	286	312
1617	164235	169745	436636	23562	3043	5246
1618	206708	183035	472062	18259	3166	3611
1619	82511	61254	163568	8130	1142	1449
162	31965	40865	87098	6919	1056	2924
1620	70129	73714	174855	14327	3589	2565
1621	106036	75805	132327	3460	380	472
1622	52849	50713	89980	11438	1555	2050
1623	46322	47827	89698	9556	1874	1822
1624	118107	154207	226532	37060	4367	14315
1625	226278	280575	511854	65796	9952	18500
1626	4089	2538	6001	26	0	0
1627	149258	268861	361469	72542	6288	27683
1628	44472	56920	89215	12534	1424	3602
1629	62903	38517	74055	5868	620	825
163	483931	1056329	1029372	193727	7342	75798
1630	53848	48200	74652	10046	633	2712
1631	177763	201224	500234	29243	4357	7270
1632	110352	171513	243687	44763	5145	16343
1633	135083	238898	339488	68581	7355	25136
1634	70005	126608	188445	35664	3666	15090
1635	132875	113913	290248	17087	4007	3645
1636	253388	298701	523059	67303	9167	18763
1637	52473	54932	94326	12345	1657	3352
1638	91212	142114	251017	33916	6557	8297
1639	50628	82824	131530	19404	2484	6354
164	1911	4061	12198	765	31	701
1640	67791	71870	120298	17223	2553	4431
1641	49215	41658	76404	7770	1221	1311
1642	323238	360647	552503	86042	7120	24456
